Feature,Importance Score
opinion_h1n1_sick_from_vacc,0.08189226355725536
opinion_seas_vacc_effective,0.07990548857081188
h1n1_vaccine,0.07551183477413394
doctor_recc_h1n1,0.0636907086760507
opinion_h1n1_vacc_effective,0.029198925826018553
health_insurance,0.027621200556212745
age_group_55 - 64 Years,0.027475538172617043
opinion_seas_risk,0.025214681544526166
seasonal_vaccine,0.024135936052525203
opinion_h1n1_risk,0.023225566497002106
